productId,productName
5ed67c50cb07110fd03bc990,Chicken Qorma Fry Rice
5ed67c50cb07110fd03bc991,Chicken Nihari
5ed67c50cb07110fd03bc992,Beef Nihari
5ed67c50cb07110fd03bc993,Aloo Qeema Fry Rice
5ed67c50cb07110fd03bc994,Aloo Qeema Ghotala
5ed67c50cb07110fd03bc995,White Rice
5ed67c50cb07110fd03bc996,Curry Pakora
5ed67c50cb07110fd03bc997,Chicken Burger
5ed67c50cb07110fd03bc998,Chicken Jumbo Burger
5ed67c50cb07110fd03bc999,Chicken Cheese Burger
5ed67c50cb07110fd03bc99a,Chicken Crispy Burger
5ed67c50cb07110fd03bc99b,Crispy Chicken Cheese Burger
5ed67c50cb07110fd03bc99c,Chicken Zinger Burger
5ed67c50cb07110fd03bc99d,Chicken Zinger Cheese Burger
5ed67c50cb07110fd03bc99e,Chicken Broast
5ed67c50cb07110fd03bc99f,Spicy Garlic Broast
5ed67c50cb07110fd03bc9a0,Mayo Garlic Broast
5ed67c50cb07110fd03bc9a1,Chicken Tikkka
5ed67c50cb07110fd03bc9a2,Chicken Boti
5ed67c50cb07110fd03bc9a3,Chicken Reshmi Kabab
5ed67c50cb07110fd03bc9a4,Chicken Chatni Roll
5ed67c50cb07110fd03bc9a5,Chicken Cheese Roll
5ed67c50cb07110fd03bc9a6,Chicken Mayo Garlic Roll
5ed67c50cb07110fd03bc9a7,Chicken Kabab Chatni Roll
5ed67c50cb07110fd03bc9a8,Chicken Kabab Cheese Roll
5ed67c50cb07110fd03bc9a9,Chicken Kabab Garlic Roll
5ed67c50cb07110fd03bc9aa,Imarti Jalebi
5ed67c50cb07110fd03bc9ab,Raita
5ed67c50cb07110fd03bc9ac,Salad
5ed67c50cb07110fd03bc9ad,Naan
5ed67c50cb07110fd03bc9ae,Double Naan
5ed67c50cb07110fd03bc9af,Chapati
5ed67c50cb07110fd03bc9b0,Soft Drink
5ed67c50cb07110fd03bc9b1,Mineral Water
5ed67c50cb07110fd03bc9b2,Sting
5ed67c50cb07110fd03bc9b3,Slice
5ed67c50cb07110fd03bc9b4,Diet 7up
5ed67c50cb07110fd03bc9b5,Diet Coke
5ed67c50cb07110fd03bc9b6,Happy Meal
